Woonplaatsen;Provincie/Naam (Naam)
Boxtel;Noord-Brabant            
Braamt;Gelderland               
Brakel;Gelderland               
Brandwijk;Zuid-Holland             
Brantgum;Fryslân                  
Breda;Noord-Brabant            
Bredevoort;Gelderland               
Breedenbroek;Gelderland               
Breezand;Noord-Holland            
Breezanddijk;Fryslân                  
Breskens;Zeeland                  
Breukelen;Utrecht                  
Breukeleveen;Noord-Holland            
Brielle;Zuid-Holland             
Briltil;Groningen                
Britsum;Fryslân                  
Britswert;Fryslân                  
Broek in Waterland;Noord-Holland            
Broek op Langedijk;Noord-Holland            
Broek;Fryslân                  
Broekhuizen;Drenthe                  
Broekhuizen;Limburg                  
Broekhuizenvorst;Limburg                  
Broekland;Overijssel               
Broeksterwâld;Fryslân                  
Bronkhorst;Gelderland               
Bronneger;Drenthe                  
Bronnegerveen;Drenthe                  
Brouwershaven;Zeeland                  
Bruchem;Gelderland               
Brucht;Overijssel               
Bruchterveld;Overijssel               
Bruinehaar;Overijssel               
Bruinisse;Zeeland                  
Brummen;Gelderland               
Brunssum;Limburg                  
Bruntinge;Drenthe                  
Buchten;Limburg                  
Budel;Noord-Brabant            
Budel-Dorplein;Noord-Brabant            
Budel-Schoot;Noord-Brabant            
Buggenum;Limburg                  
Buinen;Drenthe                  
Buinerveen;Drenthe                  
Buitenkaag;Noord-Holland            
Buitenpost;Fryslân                  
Bunde;Limburg                  
Bunne;Drenthe                  
Bunnik;Utrecht                  
Bunschoten-Spakenburg;Utrecht                  
Burdaard;Fryslân                  
Buren;Fryslân                  
Buren;Gelderland               
Burgerbrug;Noord-Holland            
Burgerveen;Noord-Holland            
Burgh-Haamstede;Zeeland                  
Burgum;Fryslân                  
Burgwerd;Fryslân                  
Burum;Fryslân                  
Bussum;Noord-Holland            
Buurmalsen;Gelderland               
Cadier en Keer;Limburg                  
Cadzand;Zeeland                  
Callantsoog;Noord-Holland            
Capelle aan den IJssel;Zuid-Holland             
Castelre;Noord-Brabant            
Castenray;Limburg                  
Casteren;Noord-Brabant            
Castricum;Noord-Holland            
Chaam;Noord-Brabant            
Clinge;Zeeland                  
Coevorden;Drenthe                  
Colijnsplaat;Zeeland                  
Collendoorn;Overijssel               
Colmschate;Overijssel               
Cornwerd;Fryslân                  
Cothen;Utrecht                  
Creil;Flevoland                
Cromvoirt;Noord-Brabant            
Cruquius;Noord-Holland            
Cuijk;Noord-Brabant            
Culemborg;Gelderland               
Daarle;Overijssel               
Daarlerveen;Overijssel               
Dalem;Zuid-Holland             
Dalen;Drenthe                  
Dalerpeel;Drenthe                  
Dalerveen;Drenthe                  
Dalfsen;Overijssel               
Dalmsholte;Overijssel               
Damwâld;Fryslân                  
Darp;Drenthe                  
De Bilt;Utrecht                  
De Blesse;Fryslân                  
De Bult;Overijssel               
De Cocksdorp;Noord-Holland            
De Falom;Fryslân                  
De Glind;Gelderland               
De Goorn;Noord-Holland            
De Groeve;Drenthe                  
De Heen;Noord-Brabant            
De Heurne;Gelderland               
de Hoef;Utrecht                  
De Hoeve;Fryslân                  
De Kiel;Drenthe                  
De Klomp;Gelderland               
De Knipe;Fryslân                  
De Koog;Noord-Holland            
De Krim;Overijssel               
De Kwakel;Noord-Holland            
De Lier;Zuid-Holland             
de Lutte;Overijssel               
De Meern;Utrecht                  
De Moer;Noord-Brabant            
De Mortel;Noord-Brabant            
De Pol;Overijssel               
De Punt;Drenthe                  
De Rijp;Noord-Holland            
De Rips;Noord-Brabant            
De Schiphorst;Drenthe                  
De Steeg;Gelderland               
De Tike;Fryslân                  
De Trieme;Fryslân                  
De Veenhoop;Fryslân                  
De Waal;Noord-Holland            
De Weere;Noord-Holland            
De Westereen;Fryslân                  
de Wijk;Drenthe                  
De Wilgen;Fryslân                  
De Wilp;Groningen                
de Woude;Noord-Holland            
De Zilk;Zuid-Holland             
Dearsum;Fryslân                  
Dedemsvaart;Overijssel               
Dedgum;Fryslân                  
Deelen;Gelderland               
Deest;Gelderland               
Deil;Gelderland               
Deinum;Fryslân                  
Delden;Overijssel               
Delfgauw;Zuid-Holland             
Delfstrahuizen;Fryslân                  
Delft;Zuid-Holland             
Delfzijl;Groningen                
Delwijnen;Gelderland               
Demen;Noord-Brabant            
Den Andel;Groningen                
Den Bommel;Zuid-Holland             
Den Burg;Noord-Holland            
Den Dolder;Utrecht                  
Den Dungen;Noord-Brabant            
Den Ham;Groningen                
Den Ham;Overijssel               
Den Helder;Noord-Holland            
Den Hoorn;Noord-Holland            
Den Hoorn;Zuid-Holland             
Den Horn;Groningen                
Den Hout;Noord-Brabant            
Den Ilp;Noord-Holland            
Den Oever;Noord-Holland            
Den Velde;Overijssel               
Denekamp;Overijssel               
Deurne;Noord-Brabant            
Deurningen;Overijssel               
Deursen-Dennenburg;Noord-Brabant            
Deurze;Drenthe                  
Deventer;Overijssel               
Didam;Gelderland               
Dieden;Noord-Brabant            
Diemen;Noord-Holland            
Diepenheim;Overijssel               
Diepenveen;Overijssel               
Dieren;Gelderland               
Diessen;Noord-Brabant            
Diever;Drenthe                  
Dieverbrug;Drenthe                  
Diffelen;Overijssel               
Dijken;Fryslân                  
Dinteloord;Noord-Brabant            
Dinxperlo;Gelderland               
Diphoorn;Drenthe                  
Dirkshorn;Noord-Holland            
Dirksland;Zuid-Holland             
Dodewaard;Gelderland               
Doenrade;Limburg                  
Doesburg;Gelderland               
Doetinchem;Gelderland               
Doeveren;Noord-Brabant            
Doezum;Groningen                
Dokkum;Fryslân                  
Doldersum;Drenthe                  
Domburg;Zeeland                  
Donderen;Drenthe                  
Dongen;Noord-Brabant            
Dongjum;Fryslân                  
Doniaga;Fryslân                  
Donkerbroek;Fryslân                  
Doorn;Utrecht                  
Doornenburg;Gelderland               
Doornspijk;Gelderland               
Doorwerth;Gelderland               
Dordrecht;Zuid-Holland             
Dorst;Noord-Brabant            
Drachten;Fryslân                  
Drachten-Azeven;Fryslân                  
Drachtstercompagnie;Fryslân                  
Dreischor;Zeeland                  
Drempt;Gelderland               
Dreumel;Gelderland               
Driebergen-Rijsenburg;Utrecht                  
Drieborg;Groningen                
Driebruggen;Zuid-Holland             
Driehuis NH;Noord-Holland            
Driehuizen;Noord-Holland            
Driel;Gelderland               
Driewegen;Zeeland                  
Driezum;Fryslân                  
Drijber;Drenthe                  
Drimmelen;Noord-Brabant            
Drogeham;Fryslân                  
Drogteropslagen;Drenthe                  
Drongelen;Noord-Brabant            
Dronryp;Fryslân                  
Dronten;Flevoland                
Drouwen;Drenthe                  
Drouwenermond;Drenthe                  
Drouwenerveen;Drenthe                  
Drunen;Noord-Brabant            
Druten;Gelderland               
Duiven;Gelderland               
Duivendrecht;Noord-Holland            
Duizel;Noord-Brabant            
Dussen;Noord-Brabant            
Dwingeloo;Drenthe                  
Eagum;Fryslân                  
Eanjum;Fryslân                  
Earnewâld;Fryslân                  
Easterein;Fryslân                  
Easterlittens;Fryslân                  
Eastermar;Fryslân                  
Easternijtsjerk;Fryslân                  
Easterwierrum;Fryslân                  
Eastrum;Fryslân                  
Echt;Limburg                  
Echteld;Gelderland               
Echten;Drenthe                  
Echten;Fryslân                  
Echtenerbrug;Fryslân                  
Eck en Wiel;Gelderland               
Eckelrade;Limburg                  
Edam;Noord-Holland            
Ede;Gelderland               
Ederveen;Gelderland               
Eede;Zeeland                  
Eefde;Gelderland               
Eelde;Drenthe                  
Eelderwolde;Drenthe                  
Eemdijk;Utrecht                  
Eemnes;Utrecht                  
Eemshaven;Groningen                
Een;Drenthe                  
Eenrum;Groningen                
Eenum;Groningen                
Een-West;Drenthe                  
Eerbeek;Gelderland               
Eersel;Noord-Brabant            
Ees;Drenthe                  
Eesergroen;Drenthe                  
Eeserveen;Drenthe                  
Eesterga;Fryslân                  
Eesveen;Overijssel               
Eethen;Noord-Brabant            
Eext;Drenthe                  
Eexterveen;Drenthe                  
Eexterveenschekanaal;Drenthe                  
Eexterzandvoort;Drenthe                  
Egchel;Limburg                  
Egmond aan den Hoef;Noord-Holland            
Egmond aan Zee;Noord-Holland            
Egmond-Binnen;Noord-Holland            
Eibergen;Gelderland               
Eijsden;Limburg                  
Eindhoven;Noord-Brabant            
Einighausen;Limburg                  
Ekehaar;Drenthe                  
Elahuizen;Fryslân                  
Elburg;Gelderland               
Eldersloo;Drenthe                  
Eleveld;Drenthe                  
Elim;Drenthe                  
Elkenrade;Limburg                  
Ell;Limburg                  
Ellecom;Gelderland               
Ellemeet;Zeeland                  
Ellertshaar;Drenthe                  
Ellewoutsdijk;Zeeland                  
Elp;Drenthe                  
Elsendorp;Noord-Brabant            
Elshout;Noord-Brabant            
Elsloo;Fryslân                  
Elsloo;Limburg                  
Elspeet;Gelderland               
Elst Ut;Utrecht                  
Elst;Gelderland               
Emmeloord;Flevoland                
Emmen;Drenthe                  
Emmer-Compascuum;Drenthe                  
Empe;Gelderland               
Emst;Gelderland               
Enkhuizen;Noord-Holland            
Ens;Flevoland                
Enschede;Overijssel               
Enspijk;Gelderland               
Enter;Overijssel               
Enumatil;Groningen                
Epe;Gelderland               
Epen;Limburg                  
Eppenhuizen;Groningen                
Epse;Gelderland               
Erica;Drenthe                  
Erichem;Gelderland               
Erlecom;Gelderland               
Erm;Drenthe                  
Ermelo;Gelderland               
Erp;Noord-Brabant            
Esbeek;Noord-Brabant            
Esch;Noord-Brabant            
Escharen;Noord-Brabant            
Espel;Flevoland                
Est;Gelderland               
Etten;Gelderland               
Etten-Leur;Noord-Brabant            
Europoort Rotterdam;Zuid-Holland             
Eursinge;Drenthe                  
Everdingen;Utrecht                  
Evertsoord;Limburg                  
Ewijk;Gelderland               
Exloërveen;Drenthe                  
Exloo;Drenthe                  
Exmorra;Fryslân                  
Eygelshoven;Limburg                  
Eys;Limburg                  
Ezinge;Groningen                
Farmsum;Groningen                
Feankleaster;Fryslân                  
Feanwâlden;Fryslân                  
Feerwerd;Groningen                
Feinsum;Fryslân                  
Ferwert;Fryslân                  
Ferwoude;Fryslân                  
Fijnaart;Noord-Brabant            
Finsterwolde;Groningen                
Firdgum;Fryslân                  
Fleringen;Overijssel               
Fluitenberg;Drenthe                  
Fochteloo;Fryslân                  
Follega;Fryslân                  
Folsgare;Fryslân                  
Formerum;Fryslân                  
Foudgum;Fryslân                  
Foxhol;Groningen                
Foxwolde;Drenthe                  
Franeker;Fryslân                  
Frederiksoord;Drenthe                  
Friens;Fryslân                  
Frieschepalen;Fryslân                  
Froombosch;Groningen                
Gaanderen;Gelderland               
Gaast;Fryslân                  
Gaastmeer;Fryslân                  
Galder;Noord-Brabant            
Gameren;Gelderland               
Gapinge;Zeeland                  
Garderen;Gelderland               
Garmerwolde;Groningen                
Garminge;Drenthe                  
Garnwerd;Groningen                
Garrelsweer;Groningen                
Garsthuizen;Groningen                
Garyp;Fryslân                  
Gassel;Noord-Brabant            
Gasselte;Drenthe                  
Gasselternijveen;Drenthe                  
Gasselternijveenschemond;Drenthe                  
Gastel;Noord-Brabant            
Gasteren;Drenthe                  
Gauw;Fryslân                  
Geelbroek;Drenthe                  
Geerdijk;Overijssel               
Geersdijk;Zeeland                  
Geertruidenberg;Noord-Brabant            
Geervliet;Zuid-Holland             
Gees;Drenthe                  
Geesbrug;Drenthe                  
Geesteren;Gelderland               
Geesteren;Overijssel               
Geeuwenbrug;Drenthe                  
Geffen;Noord-Brabant            
Geijsteren;Limburg                  
Geldermalsen;Gelderland               
Gelderswoude;Zuid-Holland             
Geldrop;Noord-Brabant            
Geleen;Limburg                  
Gellicum;Gelderland               
Gelselaar;Gelderland               
Gemert;Noord-Brabant            
Gemonde;Noord-Brabant            
Genderen;Noord-Brabant            
Gendringen;Gelderland               
Gendt;Gelderland               
Genemuiden;Overijssel               
Gennep;Limburg                  
Gerkesklooster;Fryslân                  
Gersloot;Fryslân                  
Geulle;Limburg                  
Giesbeek;Gelderland               
Giessen;Noord-Brabant            
Giessenburg;Zuid-Holland             
Gieten;Drenthe                  
Gieterveen;Drenthe                  
Giethmen;Overijssel               
Giethoorn;Overijssel               
Gilze;Noord-Brabant            
Ginnum;Fryslân                  
Glane;Overijssel               
Glimmen;Groningen                
Godlinze;Groningen                
Goedereede;Zuid-Holland             
Goënga;Fryslân                  
Goëngahuizen;Fryslân                  
Goes;Zeeland                  
Goingarijp;Fryslân                  
Goirle;Noord-Brabant            
Goor;Overijssel               
Gorinchem;Zuid-Holland             
Gorredijk;Fryslân                  
Gorssel;Gelderland               
Gouda;Zuid-Holland             
Gouderak;Zuid-Holland             
Goudriaan;Zuid-Holland             
Goudswaard;Zuid-Holland             
Goutum;Fryslân                  
Graauw;Zeeland                  
Grafhorst;Overijssel               
Graft;Noord-Holland            
Gramsbergen;Overijssel               
Grashoek;Limburg                  
Grathem;Limburg                  
Grave;Noord-Brabant            
Greonterp;Fryslân                  
Grevenbicht;Limburg                  
Griendtsveen;Limburg                  
Grijpskerk;Groningen                
Grijpskerke;Zeeland                  
Groede;Zeeland                  
Groenekan;Utrecht                  
Groeningen;Noord-Brabant            
Groenlo;Gelderland               
Groesbeek;Gelderland               
Groessen;Gelderland               
Groet;Noord-Holland            
Grolloo;Drenthe                  
Groningen;Groningen                
Gronsveld;Limburg                  
Groot-Ammers;Zuid-Holland             
Grootebroek;Noord-Holland            
Grootegast;Groningen                
Grootschermer;Noord-Holland            
Grou;Fryslân                  
Grubbenvorst;Limburg                  
Gulpen;Limburg                  
Guttecoven;Limburg                  
Gytsjerk;Fryslân                  
Haaften;Gelderland               
Haaksbergen;Overijssel               
Haalderen;Gelderland               
Haaren;Noord-Brabant            
Haarle;Overijssel               
Haarlem;Noord-Holland            
Haarlemmerliede;Noord-Holland            
Haarlo;Gelderland               
Haarsteeg;Noord-Brabant            
Haarzuilens;Utrecht                  
Haastrecht;Zuid-Holland             
Haelen;Limburg                  
Hagestein;Utrecht                  
Haghorst;Noord-Brabant            
Haler;Limburg                  
Halfweg;Noord-Holland            
Hall;Gelderland               
Halle;Gelderland               
Hallum;Fryslân                  
Halsteren;Noord-Brabant            
Handel;Noord-Brabant            
Hank;Noord-Brabant            
Hansweert;Zeeland                  
Hantum;Fryslân                  
Hantumerútbuorren;Fryslân                  
Hantumhuzen;Fryslân                  
Hapert;Noord-Brabant            
Haps;Noord-Brabant            
Harbrinkhoek;Overijssel               
Hardenberg;Overijssel               
Harderwijk;Gelderland               
Hardinxveld-Giessendam;Zuid-Holland             
Haren Gn;Groningen                
Haren;Noord-Brabant            
Harfsen;Gelderland               
Harich;Fryslân                  
Haringhuizen;Noord-Holland            
Harkema;Fryslân                  
Harkstede GN;Groningen                
Harkstede;Groningen                
Harlingen;Fryslân                  
Harmelen;Utrecht                  
Harreveld;Gelderland               
Harskamp;Gelderland               
Hartwerd;Fryslân                  
Haskerdijken;Fryslân                  
Haskerhorne;Fryslân                  
Hasselt;Overijssel               
Hattem;Gelderland               
Hattemerbroek;Gelderland               
Haule;Fryslân                  
Haulerwijk;Fryslân                  
Hauwert;Noord-Holland            
Havelte;Drenthe                  
Havelterberg;Drenthe                  
Hazerswoude-Dorp;Zuid-Holland             
Hazerswoude-Rijndijk;Zuid-Holland             
Hedel;Gelderland               
Hedikhuizen;Noord-Brabant            
Hee;Fryslân                  
Heeg;Fryslân                  
Heel;Limburg                  
Heelsum;Gelderland               
Heelweg;Gelderland               
Heemserveen;Overijssel               
Heemskerk;Noord-Holland            
Heemstede;Noord-Holland            
Heenvliet;Zuid-Holland             
Heerde;Gelderland               
Heerenveen;Fryslân                  
Heerewaarden;Gelderland               
Heerhugowaard;Noord-Holland            
Heerjansdam;Zuid-Holland             
Heerle;Noord-Brabant            
Heerlen;Limburg                  
Heesbeen;Noord-Brabant            
Heesch;Noord-Brabant            
Heesselt;Gelderland               
Heeswijk-Dinther;Noord-Brabant            
Heeten;Overijssel               
Heeze;Noord-Brabant            
Hegebeintum;Fryslân                  
Hegelsom;Limburg                  
Hei- en Boeicop;Utrecht                  
Heibloem;Limburg                  
Heide;Limburg                  
Heijen;Limburg                  
Heijenrath;Limburg                  
Heijningen;Noord-Brabant            
Heikant;Zeeland                  
Heilig Landstichting;Gelderland               
Heiligerlee;Groningen                
Heiloo;Noord-Holland            
Heinenoord;Zuid-Holland             
Heinkenszand;Zeeland                  
Heino;Overijssel               
Hekelingen;Zuid-Holland             
Hekendorp;Utrecht                  
Helden;Limburg                  
Helenaveen;Noord-Brabant            
Hellendoorn;Overijssel               
Hellevoetsluis;Zuid-Holland             
Hellouw;Gelderland               
Hellum;Groningen                
Helmond;Noord-Brabant            
Helvoirt;Noord-Brabant            
Hem;Noord-Holland            
Hemelum;Fryslân                  
Hemmen;Gelderland               
Hempens;Fryslân                  
Hemrik;Fryslân                  
Hendrik-Ido-Ambacht;Zuid-Holland             
Hengelo (Gld);Gelderland               
Hengelo;Overijssel               
Hengevelde;Overijssel               
Hengstdijk;Zeeland                  
Hensbroek;Noord-Holland            
Herbaijum;Fryslân                  
Herkenbosch;Limburg                  
Herkingen;Zuid-Holland             
Hernen;Gelderland               
Herpen;Noord-Brabant            
Herpt;Noord-Brabant            
Herten;Limburg                  
Hertme;Overijssel               
Herveld;Gelderland               
Herwen;Gelderland               
Herwijnen;Gelderland               
Heteren;Gelderland               
Heukelom;Noord-Brabant            
Heukelum;Gelderland               
Heumen;Gelderland               
Heusden;Noord-Brabant            
Heveadorp;Gelderland               
Heythuysen;Limburg                  
Hezingen;Overijssel               
Hiaure;Fryslân                  
Hichtum;Fryslân                  
Hidaard;Fryslân                  
Hierden;Gelderland               
Hieslum;Fryslân                  
Hijken;Drenthe                  
Hijum;Fryslân                  
Hilaard;Fryslân                  
Hillegom;Zuid-Holland             
Hilvarenbeek;Noord-Brabant            
Hilversum;Noord-Holland            
Hindeloopen;Fryslân                  
Hinnaard;Fryslân                  
Hippolytushoef;Noord-Holland            
Hitzum;Fryslân                  
Hobrede;Noord-Holland            
Hoedekenskerke;Zeeland                  
Hoef en Haag;Utrecht                  
Hoek van Holland;Zuid-Holland             
Hoek;Zeeland                  
Hoenderloo;Gelderland               
Hoensbroek;Limburg                  
Hoenzadriel;Gelderland               
Hoevelaken;Gelderland               
Hoeven;Noord-Brabant            
Hoge Hexel;Overijssel               
Hollandsche Rading;Utrecht                  
Hollandscheveld;Drenthe                  
Hollum;Fryslân                  
Holsloot;Drenthe                  
Holten;Overijssel               
Holthees;Noord-Brabant            
Holtheme;Overijssel               
Holthone;Overijssel               
Holtum;Limburg                  
Holwert;Fryslân                  
Holwierde;Groningen                
Hommerts;Fryslân                  
Homoet;Gelderland               
Honselersdijk;Zuid-Holland             
Hoofddorp;Noord-Holland            
Hoofdplaat;Zeeland                  
Hoog Soeren;Gelderland               
Hoogblokland;Zuid-Holland             
Hooge Mierde;Noord-Brabant            
Hooge Zwaluwe;Noord-Brabant            
Hoogeloon;Noord-Brabant            
Hoogenweg;Overijssel               
Hoogerheide;Noord-Brabant            
Hoogersmilde;Drenthe                  
Hoogeveen;Drenthe                  
Hoogezand;Groningen                
Hooghalen;Drenthe                  
Hoogkarspel;Noord-Holland            
Hoog-Keppel;Gelderland               
Hoogland;Utrecht                  
Hooglanderveen;Utrecht                  
Hoogmade;Zuid-Holland             
Hoogvliet Rotterdam;Zuid-Holland             
Hoogwoud;Noord-Holland            
Hoorn;Fryslân                  
Hoorn;Noord-Holland            
Hoornaar;Zuid-Holland             
Hoornsterzwaag;Fryslân                  
Horn;Limburg                  
Hornhuizen;Groningen                
Horssen;Gelderland               
Horst;Limburg                  
Houten;Utrecht                  
Houtigehage;Fryslân                  
Houwerzijl;Groningen                
Huijbergen;Noord-Brabant            
Huis ter Heide;Drenthe                  
Huis ter Heide;Utrecht                  
Huisduinen;Noord-Holland            
Huisseling;Noord-Brabant            
Huissen;Gelderland               
Huizen;Noord-Holland            
Huizinge;Groningen                
Hulsberg;Limburg                  
Hulsel;Noord-Brabant            
Hulshorst;Gelderland               
Hulst;Zeeland                  
Hulten;Noord-Brabant            
Hummelo;Gelderland               
Húns;Fryslân                  
Hunsel;Limburg                  
Hurdegaryp;Fryslân                  
Hurwenen;Gelderland               
